id,模型名,隐藏,输入,输出,context,cutoff,LiveBench,Arena,Arena,AP,APw,SWE,GPQA,MC,SC,AIME25,AIME24,VA,MMMU,LCBv5,TauA,TauR,HLE,HLET,nao逻辑,nao编程,nao视觉,MMMLU,ARC1,IFEval,MP,IQ,LCW,CW,FL,备注,即时,模型全名,API名,显示在列名旁,isModel
122,qwen3-235b-a22b (NT),否,0.3,1,129K(16K),,,,,59.6,,,63,,,26,40,,,35,,,,,40,45,,,,,,,,,,,是,Qwen 3 235B-A22B (Non-Thinking),,,是
123,chatgpt-4o-0326,否,5,15,128k(16K),,61.65,1422,1422,45.3,,33.2?,53.6/46.0?,27.8?,59.5,,13.1?,1310,,32.3?,,,,,42,48,,,,,,66,76.8,1391,"65.3,61.7",,是,ChatGPT-4o 0326,chatgpt-4o-latest-20250326,,是
124,GPT-4.1 mini,否,0.4,1.6,,,59.05,,,32.4,,23.6,65,35.81,,,49.6,1236,72.7,,,,,,,64,,78.5,,84.1,,,62.1,1129,"42.4,41.6",,是,GPT-4.1 mini,,,是
125,Gemini 2.0 Flash,否,0.1,0.4,1M(8K),2024.8.1,60.05,,,22.2,22.2,,60.1,36.88,,27.5,,,71.7,34.5,,,5.1,,,,,,,,77.6,,,,,"V,A",是,Gemini 2.0 Flash,gemini-2.0-flash-001,,是
126,GPT-4o mini,否,0.15,0.6,,,43.41,,,,,8.7,40.2,20.3,,,8.6,,53.6/46.0?,,,,,,,,,70.5,,78.4,,,55.2,860,,,是,GPT-4o mini,,,是
127,GPT-4.1 nano,否,0.1,0.4,,,46.58,,,,8.9,,50.3,15.04,,,29.4,,55.4,,,,,,,,,66.9,,74.5,,,56.1,949,"32.6,29.4",,是,GPT-4.1 nano,,,是
128,GPT-4.5,是,75,150,,,65.93,1417,1417,44.9,,38,71.4,43.77,,,36.7,,74.4,,,,,,,,,85.1,,,,,,1193,,太贵,是,GPT-4.5,gpt-4.5-preview-2025-02-27,,是
129,Gemini 2.5 Flash 0520 (NT),是,0.15,0.6,1M(65K),2025.1.1,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,"V,A",是,Gemini 2.5 Flash 0520 (Non-Thinking),gemini-2.5-flash-preview-05-20,,是
130,Gemini 2.5 Flash 0417 (NT),是,0.15,0.6,1M(65K),2025.1.1,,,,,,,74.4,,,,,,,41,,,,,42,32,,,,,,,,,"65.3,50.9","V,A",是,Gemini 2.5 Flash 0417 (Non-Thinking),gemini-2.5-flash-preview-04-17,,是
1,isDataset,否,否,否,否,否,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,是,否,否,否,否,,否
2,隐藏,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,是,是,是,,否
3,显示在模型旁,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,是,是,是,,否
4,数据集全名,是,,,,,LiveBench,LMArena,LMArena,Aider polyglot,Aider polyglot whole,SWE-Bench Verified,GPQA Diamond,MultiChallenge,SuperCLUE总排行榜（2025年5月）,AIME 2025,AIME 2024,Vision Arena,MMMU,LiveCodeBench v5,τ-bench Airline,τ-bench Retail,Humanity's Last Exam,Humanity's Last Exam (Text Only),nao逻辑,nao编程,nao视觉,MMMLU,ARC-AGI-1,IFEval,MMLU-Pro,TRACKING AI IQ,Longform Creative Writing,Creative Writing v3,Fiction.LiveBench 平均,,,,,是,否
5,备注,是,计价单位：$ / M tokens,计价单位：$ / M tokens,,,2025.4.25,No Style Control,No Style Control,,,,,,,,,No Style Control,,,,,学术问题,,toyama nao(知乎)，逻辑能力，V3.5题库，中位数据。公众号大模型观测员。Temp: 0.1。,,,,,,,offline,,,"4k-16k,32k-120k的平均值",,,,,是,否
6,id,1,50,51,53,54,100,101,101,103,104,105,106,102,125,107,108,109,110,111,127,128,112,126,116,117,118,114,113,115,119,120,121,122,123,52,57,55,56,5,4
